 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]        nu*F(nu)          
                                   [erg/sec/cm^2/str]    
  2.5312993E-06   36000.00      0.0000000E+00
  3.7969489E-06   24000.00      0.0000000E+00
  5.6954236E-06   16000.00      0.0000000E+00
  7.0097522E-06   13000.00      0.0000000E+00
  8.2842525E-06   11000.00      0.0000000E+00
  1.2314429E-05   7400.000      0.0000000E+00
  1.8225355E-05   5000.000      0.0000000E+00
  2.7202022E-05   3350.000      0.0000000E+00
  4.0500789E-05   2250.000      0.0000000E+00
  6.0751183E-05   1500.000      0.0000000E+00
  9.1126778E-05   999.9999      0.0000000E+00
  1.3018111E-04   699.9999      9.5144809E-05
  1.8225356E-04   500.0000      3.6535604E-04
  2.2781694E-04   400.0000      7.0787739E-04
  3.0375592E-04   300.0000      3.4632706E-03
  3.6450711E-04   250.0000      7.4593532E-03
  4.5563388E-04   200.0000      1.8656004E-02
  6.0751184E-04   150.0000      6.3084871E-02
  6.5090554E-04   140.0000      8.1436425E-02
  7.0097519E-04   130.0000      0.1002902    
  7.5938983E-04   120.0000      0.1436765    
  8.2842523E-04   110.0000      0.1782253    
  8.6787407E-04   105.0000      0.2169304    
  9.1126777E-04   100.0000      0.2491806    
  9.5922925E-04   94.99999      0.3092290    
  1.0125197E-03   90.00000      0.3500184    
  1.0720798E-03   84.99999      0.4176020    
  1.1390847E-03   80.00000      0.4928871    
  1.2150237E-03   75.00000      0.5855588    
  1.3018111E-03   70.00000      0.6771185    
  1.4019504E-03   65.00000      0.7917265    
  1.5187797E-03   60.00000      0.9148890    
  1.6568505E-03   55.00000       1.043851    
  1.8225355E-03   50.00000       1.181491    
  2.0250394E-03   45.00000       1.235875    
  2.2781694E-03   40.00000       1.239528    
  2.6036222E-03   35.00000       1.176353    
  3.0375593E-03   30.00000       1.012234    
  3.2545277E-03   28.00000      0.9317923    
  3.3750657E-03   27.00000      0.8515666    
  3.5048760E-03   26.00000      0.8119635    
  3.6450711E-03   25.00000      0.7601212    
  3.7969491E-03   24.00000      0.6946616    
  3.9620339E-03   23.00000      0.6133863    
  4.1421261E-03   22.00000      0.5490994    
  4.5563388E-03   20.00000      0.4393555    
  4.7961459E-03   19.00000      0.3743069    
  5.0625987E-03   18.00000      0.3139179    
  5.3603984E-03   17.00000      0.2410136    
  5.6954236E-03   16.00000      0.1888438    
  6.0751187E-03   15.00000      0.1470107    
  6.2846052E-03   14.50000      0.1353343    
  6.5090554E-03   14.00000      0.1415986    
  6.7501315E-03   13.50000      0.1450617    
  7.0097521E-03   13.00000      0.1488068    
  7.2901421E-03   12.50000      0.1622183    
  7.5938981E-03   12.00000      0.1655525    
  7.8557562E-03   11.60000      0.1631339    
  8.0643166E-03   11.30000      0.1889454    
  8.2842521E-03   11.00000      0.1953285    
  8.6787408E-03   10.50000      0.1927257    
  9.1126775E-03   10.00000      0.2044297    
  9.2514493E-03   9.850000      0.2165744    
  9.3945134E-03   9.700000      0.2190427    
  9.5420703E-03   9.550000      0.2179839    
  9.6943388E-03   9.399999      0.2234962    
  1.0125197E-02   9.000001      0.2470187    
  1.0720797E-02   8.500000      0.3182250    
  1.1390847E-02   8.000000      0.3894458    
  1.2150237E-02   7.500000      0.4891203    
  1.3018111E-02   7.000000      0.5926152    
  1.4019504E-02   6.500000      0.7063249    
  1.5187796E-02   6.000000      0.8515086    
  1.6568504E-02   5.500000       1.063490    
  1.8225355E-02   5.000000       1.338229    
  2.0250395E-02   4.500000       1.697078    
  2.2781694E-02   4.000000       2.167153    
  2.6036222E-02   3.500000       2.856274    
  3.0375592E-02   3.000000       3.752138    
  3.3750657E-02   2.700000       4.463224    
  4.1421261E-02   2.200000       5.880443    
  4.5563389E-02   2.000000       6.461368    
  5.3603984E-02   1.700000       7.185925    
  7.0097521E-02   1.300000       6.932062    
  7.9240680E-02   1.150000       6.088511    
  9.1126777E-02  0.9999999       4.733220    
  0.1072080      0.8499998       2.914622    
  0.1301811      0.7000000       1.037409    
  0.1656850      0.5500001      0.1602995    
  0.2071063      0.4400000      1.2536291E-02
  0.2531299      0.3600000      1.6745480E-03
  0.3037559      0.3000000      3.8057911E-05
  0.3645071      0.2500000      0.0000000E+00
  0.4556339      0.2000000      0.0000000E+00
  0.6075118      0.1500000      0.0000000E+00
  0.7593898      0.1200000      0.0000000E+00
  0.9112678      9.9999994E-02  0.0000000E+00
   1.139085      7.9999998E-02  0.0000000E+00
   1.518780      5.9999999E-02  0.0000000E+00
   1.822536      5.0000001E-02  0.0000000E+00
   2.278169      3.9999999E-02  0.0000000E+00
   3.037559      2.9999999E-02  0.0000000E+00
   4.556339      2.0000000E-02  0.0000000E+00
   6.075119      1.5000000E-02  0.0000000E+00
   9.112678      9.9999998E-03  0.0000000E+00
  
 Total energy radiated out of the nebula [e36 erg/s]:   38.25991    
 All SEDs given per unit direction
 To obtain total emission over all directions must multiply by Pi
