 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]        nu*F(nu)          
                                   [erg/sec/cm^2/str]    
  2.5312993E-06   36000.00      0.0000000E+00
  3.7969489E-06   24000.00      0.0000000E+00
  5.6954236E-06   16000.00      0.0000000E+00
  7.0097522E-06   13000.00      0.0000000E+00
  8.2842525E-06   11000.00      0.0000000E+00
  1.2314429E-05   7400.000      0.0000000E+00
  1.8225355E-05   5000.000      0.0000000E+00
  2.7202022E-05   3350.000      0.0000000E+00
  4.0500789E-05   2250.000      3.5582358E-04
  6.0751183E-05   1500.000      3.5582355E-04
  9.1126778E-05   999.9999      4.1512749E-04
  1.3018111E-04   699.9999      0.0000000E+00
  1.8225356E-04   500.0000      7.1164721E-04
  2.2781694E-04   400.0000      1.0674708E-03
  3.0375592E-04   300.0000      2.6686767E-03
  3.6450711E-04   250.0000      2.8465888E-03
  4.5563388E-04   200.0000      3.7361472E-03
  6.0751184E-04   150.0000      1.2453826E-02
  6.5090554E-04   140.0000      9.2514148E-03
  7.0097519E-04   130.0000      1.4944576E-02
  7.5938983E-04   120.0000      1.3699216E-02
  8.2842523E-04   110.0000      3.3625301E-02
  8.6787407E-04   105.0000      2.8465889E-02
  9.1126777E-04   100.0000      3.7183542E-02
  9.5922925E-04   94.99999      4.1631397E-02
  1.0125197E-03   90.00000      6.3514441E-02
  1.0720798E-03   84.99999      4.5545451E-02
  1.1390847E-03   80.00000      8.5397638E-02
  1.2150237E-03   75.00000      6.2269147E-02
  1.3018111E-03   70.00000      9.4826981E-02
  1.4019504E-03   65.00000      9.1802388E-02
  1.5187797E-03   60.00000      0.1252500    
  1.6568505E-03   55.00000      0.1636789    
  1.8225355E-03   50.00000      0.1921449    
  2.0250394E-03   45.00000      0.2803892    
  2.2781694E-03   40.00000      0.3350082    
  2.6036222E-03   35.00000      0.3906945    
  3.0375593E-03   30.00000      0.5728769    
  3.2545277E-03   28.00000      0.6869178    
  3.3750657E-03   27.00000      0.8002473    
  3.5048760E-03   26.00000      0.7739170    
  3.6450711E-03   25.00000      0.8924059    
  3.7969491E-03   24.00000       1.068005    
  3.9620339E-03   23.00000       1.166392    
  4.1421261E-03   22.00000       1.327218    
  4.5563388E-03   20.00000       1.872697    
  4.7961459E-03   19.00000       2.071955    
  5.0625987E-03   18.00000       2.292568    
  5.3603984E-03   17.00000       2.197561    
  5.6954236E-03   16.00000       1.860063    
  6.0751187E-03   15.00000       1.723257    
  6.2846052E-03   14.50000       1.605931    
  6.6000000E-03   13.80709       1.671305    
  6.8999999E-03   13.20678       2.114806    
  7.9999994E-03   11.39085       5.342075    
  8.2999999E-03   10.97913       6.227315    
  9.6999994E-03   9.394513       11.32088    
  9.9999998E-03   9.112678       10.34377    
  1.1999999E-02   7.593898       1.693719    
  1.2300000E-02   7.408681       1.321012    
  1.5299999E-02   5.955999       1.152334    
  1.5600000E-02   5.841460       1.158277    
  2.0100001E-02   4.533670       1.025130    
  2.0400001E-02   4.466999       1.203840    
  2.7500000E-02   3.313701      0.8480474    
  2.7799999E-02   3.277942       1.061926    
  3.9699998E-02   2.295385      0.6121325    
  3.9999999E-02   2.278169      0.5955056    
  4.6250001E-02   1.970309      0.4305113    
  5.2500002E-02   1.735748      0.3331724    
  6.2199999E-02   1.465061      0.2213212    
  6.2500000E-02   1.458028      0.2188316    
  6.8750001E-02   1.325480      0.1996171    
  7.5000003E-02   1.215024      0.1750652    
  8.1250004E-02   1.121560      0.2035312    
  8.7500006E-02   1.041449      0.1917889    
  9.3750007E-02  0.9720188      0.2508557    
  0.1000000      0.9112676      0.2209579    
  0.1108700      0.8219245      0.0000000E+00
  0.1111700      0.8197065      0.3374727    
  0.1158000      0.7869324      0.6180704    
  0.1161000      0.7848990      0.3771001    
  0.1221800      0.7458404      0.2898324    
  0.1224800      0.7440135      0.4218670    
  0.1287300      0.7078907      0.3701993    
  0.1370200      0.6650619      0.3250275    
  0.1373200      0.6636089      0.3635315    
  0.1435700      0.6347202      0.3351220    
  0.1498200      0.6082418      0.4051526    
  0.1560700      0.5838841      0.3731849    
  0.1623200      0.5614021      0.4019912    
  0.1685700      0.5405872      0.4078726    
  0.1748200      0.5212607      0.3782073    
  0.1810700      0.5032684      0.3659569    
  0.1873199      0.4864766      0.3519274    
  0.1935699      0.4707692      0.3526493    
  0.1998199      0.4560445      0.2844028    
  0.2060699      0.4422128      0.3578240    
  0.2123199      0.4291956      0.3445010    
  0.2185699      0.4169227      0.3484202    
  0.2248199      0.4053323      0.3839822    
  0.2310699      0.3943689      0.4275451    
  0.2373199      0.3839829      0.3964869    
  0.2473300      0.3684421      0.1466739    
  0.2476300      0.3679957      0.5479673    
  0.2496400      0.3650328      0.2960876    
  0.2499400      0.3645946       1.551018    
  0.2561900      0.3557000       1.835252    
  0.2660000      0.3425819       2.208550    
  0.2663000      0.3421959       1.553998    
  0.2725500      0.3343489       1.419786    
  0.2788000      0.3268536       1.428535    
  0.2850500      0.3196870       1.597400    
  0.2915900      0.3125168       1.383440    
  0.2918900      0.3121956       1.456131    
  0.3168900      0.2875659       1.321507    
  0.3418900      0.2665383       1.111905    
  0.3668900      0.2483763       1.201043    
  0.3918900      0.2325315       1.196429    
  0.4168900      0.2185871       1.145181    
  0.4418900      0.2062205       1.421405    
  0.4668900      0.1951782       1.395498    
  0.4918900      0.1852584       1.358204    
  0.5168900      0.1762982       1.429298    
  0.5616704      0.1622424       3.331035    
  0.5619704      0.1621558       1.303617    
  0.5988608      0.1521669      0.7103192    
  0.5991608      0.1520907       1.338871    
  0.6241608      0.1459989      0.8395063    
  0.6491607      0.1403763      0.8038355    
  0.6741607      0.1351707      0.9355431    
  0.6991607      0.1303374      0.7612617    
  0.7241607      0.1258378      0.6653455    
  0.7611457      0.1197232      0.4514041    
  0.7614457      0.1196760      0.3793170    
  0.7864457      0.1158717      0.4144571    
  0.8272945      0.1101504      0.0000000E+00
  0.8275945      0.1101104      0.4063796    
  0.8525944      0.1068817      0.2912385    
  0.8775944      0.1038370      0.3559867    
  0.9025944      0.1009609      0.2248152    
  0.9275944      9.8239899E-02  0.2178397    
  0.9525943      9.5661677E-02  0.1638709    
  0.9991340      9.1205761E-02  0.0000000E+00
  0.9994340      9.1178380E-02  0.0000000E+00
   1.000751      9.1058373E-02  0.0000000E+00
   1.001051      9.1031082E-02  0.0000000E+00
   1.026051      8.8813089E-02  0.0000000E+00
   1.067635      8.5353881E-02  0.0000000E+00
   1.067935      8.5329898E-02  0.0000000E+00
   1.105119      8.2458772E-02  0.0000000E+00
   1.105419      8.2436390E-02  0.0000000E+00
   1.130419      8.0613256E-02  0.0000000E+00
   1.155419      7.8869015E-02  0.0000000E+00
   1.201402      7.5850330E-02  0.0000000E+00
   1.201702      7.5831391E-02  0.0000000E+00
   1.226702      7.4285962E-02  0.0000000E+00
   1.251702      7.2802268E-02  0.0000000E+00
   1.276702      7.1376674E-02  0.0000000E+00
   1.301702      7.0005842E-02  0.0000000E+00
   1.326702      6.8686679E-02  0.0000000E+00
   1.351702      6.7416303E-02  0.0000000E+00
   1.376702      6.6192068E-02  0.0000000E+00
   1.401702      6.5011501E-02  0.0000000E+00
   1.426702      6.3872315E-02  0.0000000E+00
   1.451702      6.2772356E-02  0.0000000E+00
   1.476702      6.1709650E-02  0.0000000E+00
   1.501702      6.0682323E-02  0.0000000E+00
   1.526702      5.9688639E-02  0.0000000E+00
   1.551702      5.8726978E-02  0.0000000E+00
   1.584330      5.7517540E-02  0.0000000E+00
   1.584630      5.7506647E-02  0.0000000E+00
