          20  sizes 
           1  3.9999995E-02   78125.03    
           2  4.5153517E-02   51118.66    
           3  5.0970990E-02   33447.93    
           4  5.7537992E-02   21885.61    
           5  6.4951070E-02   14320.16    
           6  7.3319212E-02   9369.950    
           7  8.2765512E-02   6130.940    
           8  9.3428858E-02   4011.588    
           9  0.1054660       2624.858    
          10  0.1190540       1717.495    
          11  0.1343927       1123.789    
          12  0.1517076       735.3167    
          13  0.1712533       481.1316    
          14  0.1933172       314.8134    
          15  0.2182238       205.9884    
          16  0.2463393       134.7821    
          17  0.2780771       88.19048    
          18  0.3139040       57.70470    
          19  0.3543467       37.75727    
          20  0.4000000       24.70530    
 
 
 slope (p):    3.500000    
