          15          15          15
            Element             Ion   T0              t^2
           1           1   4628.994      0.3711890    
           1           2   4999.036      5.5548001E-02
           2           1   5724.143      0.1734278    
           2           2   4909.208      5.0367009E-02
           2           3   6402.893      1.2434158E-07
           3           1   510.1542       5.533435    
           3           2   6058.093      8.0555029E-02
           3           3   4675.037      3.8353000E-02
           3           4   5008.359      3.3391729E-02
           3           5   6402.176      3.8321963E-05
           3           6   5278.245      5.9466612E-02
           4           1   3486.159      0.7623681    
           4           2   6523.046      2.9427379E-02
           4           3   4639.248      3.4288511E-02
           4           4   4812.562      3.3206608E-02
           4           5   4840.613      3.3310838E-02
           4           6   4983.276      6.7350388E-02
           5           1   4917.681      0.3502833    
           5           2   6303.349      3.7586544E-02
           5           3   4604.681      3.2104854E-02
           5           4   6402.980      1.1739102E-08
           5           5   6402.980      6.7261334E-07
           5           6   4983.276      6.7350388E-02
           6           1   3585.800      0.7080921    
           6           2   6044.813      4.3502692E-02
           6           3   4660.464      3.8199626E-02
           6           4   6402.980      1.2147680E-06
           6           5   6399.353      2.2415149E-04
           6           6   4983.276      6.7350388E-02
           7           1   6250.581      6.6017687E-02
           7           2   5812.788      9.2049286E-02
           7           3   4732.295      4.3155849E-02
           7           4   4684.179      3.1433295E-02
           7           5   4983.276      6.7350388E-02
           7           6   4983.276      6.7350388E-02
           8           1   6559.392      3.8396034E-02
           8           2   6308.161      7.2762556E-02
           8           3   4650.524      3.0921316E-02
           8           4   4335.871      1.8787758E-02
           8           5   5392.574      2.7928965E-02
           8           6   5459.676      2.6126331E-02
           9           1   5700.340      0.1910178    
           9           2   5617.278      0.1816787    
           9           3   5321.583      5.2149825E-02
           9           4   4349.138      1.9397343E-02
           9           5   5106.512      3.1573921E-02
           9           6   5216.871      3.0074922E-02
          10           1   5937.366      0.1508740    
          10           2   5938.250      0.1149828    
          10           3   4901.651      4.8048764E-02
          10           4   4401.558      2.3491155E-02
          10           5   6057.868      1.2248605E-02
          10           6   6087.009      1.0936932E-02
          11           1   1782.109       2.005254    
          11           2   6583.192      3.7462741E-02
          11           3   5034.181      5.0378647E-02
          11           4   4424.253      2.4708319E-02
          11           5   6402.980      1.2085796E-07
          11           6   6402.980      3.2167252E-06
