6
** Na VI data for 5 levels **
Na VI  upsilons from Lennon D.J., Burke V.M., (A&A Suppl.,103,273,1994)
 A values from NIST database (Fuhr,J.& Wiese,W.L., CRC Handbook of
   Chem.& Phys., ed. Lide, D.R. 1995)
 Elevs from NIST data (Martin,W.C. & Zalubas,R. J.Phys.Chem.Ref.Data 10,1981)
                CJP 25-2-96
  5 11 0
2p2 3Pe0
2p2 3Pe1
2p2 3Pe2
2p2 1D2
2p2 1S0
    1000.00
    1585.00
    2512.00
    3981.00
    6310.00
   10000.00
   15849.00
   25119.00
   39811.00
   63096.00
  100000.00
 0
   1 2 0.7506
   0 0 0.6948
   0 0 0.6803
   0 0 0.7052
   0 0 0.7422
   0 0 0.7697
   0 0 0.7725
   0 0 0.7428
   0 0 0.6922
   0 0 0.6372
   0 0 0.5825
   1 3 0.5294
   0 0 0.4828
   0 0 0.4702
   0 0 0.4899
   0 0 0.5140
   0 0 0.5214
   0 0 0.5082
   0 0 0.4807   
   0 0 0.4504
   0 0 0.4246
   0 0 0.3995
   1 4 0.1928
   0 0 0.1897
   0 0 0.1837
   0 0 0.1763
   0 0 0.1687
   0 0 0.1612
   0 0 0.1550
   0 0 0.1511
   0 0 0.1496
   0 0 0.1491
   0 0 0.1470
   1 5 0.0197
   0 0 0.0195
   0 0 0.0194
   0 0 0.0193
   0 0 0.0192
   0 0 0.0191
   0 0 0.0191
   0 0 0.0194
   0 0 0.0199
   0 0 0.0203
   0 0 0.0202
   2 3 2.1300
   0 0 1.9550
   0 0 1.9080
   0 0 1.9840
   0 0 2.0840
   0 0 2.1330
   0 0 2.1020
   0 0 1.9950
   0 0 1.8530
   0 0 1.7180
   0 0 1.5890
   2 4 0.5785
   0 0 0.5692
   0 0 0.5511
   0 0 0.5290
   0 0 0.5061
   0 0 0.4835
   0 0 0.4649
   0 0 0.4534
   0 0 0.4489
   0 0 0.4472
   0 0 0.4411
   2 5 0.0590
   0 0 0.0586
   0 0 0.0583
   0 0 0.0579
   0 0 0.0576
   0 0 0.0573
   0 0 0.0573
   0 0 0.0582
   0 0 0.0596
   0 0 0.0608
   0 0 0.0605
   3 4 0.9642
   0 0 0.9486
   0 0 0.9184
   0 0 0.8817
   0 0 0.8434
   0 0 0.8058
   0 0 0.7748
   0 0 0.7557
   0 0 0.7481
   0 0 0.7454
   0 0 0.7351
   3 5 0.0983
   0 0 0.0976
   0 0 0.0971
   0 0 0.0966
   0 0 0.0959
   0 0 0.0954
   0 0 0.0956
   0 0 0.0970
   0 0 0.0994
   0 0 0.1013
   0 0 0.1008
   4 5 0.0978
   0 0 0.0995
   0 0 0.1021
   0 0 0.1053
   0 0 0.1094
   0 0 0.1157
   0 0 0.1276
   0 0 0.1498
   0 0 0.1887
   0 0 0.2410
   0 0 0.2876
0 0 0
 1 2 6.12E-3
 1 3 4.35E-8
 1 4 5.1E-5
 1 5 0.0
 2 3 2.11E-2
 2 4 .441
 2 5 13.4
 3 4 1.2
 3 5 1.9E-2
 4 5 3.59
 1 1 0.
 2 3 698.
 3 5 1859.
 4 5 35498.
 5 1 74414.
