2
 Upsilons from Berrington & Burke (Plan.Sp.Sci.,29,377,1981)
 Aij's from Zeippen (MNRAS,198,111,1982)
 5 15 0
 LEVELS 1
        2
        3
        4
        5
5000
6000
7000
8000
9000
10000
12000
13000
14000
15000
16000
17000
18000
19000
20000
0
    1    2 0.1402    5000.
  0  0    .1732    6000.
  0  0    .2044    7000.
  0  0    .2338    8000.
  0  0    .2615    9000.
  0  0    .2877   10000.
  0  0    .3357   12000.
  0  0    .3576   13000.
  0  0    .3784   14000.
  0  0    .3979   15000.
  0  0    .4164   16000.
  0  0    .4338   17000.
  0  0    .4503   18000.
  0  0    .4658   19000.
  0  0    .4804   20000.
    1    3 0.0935    5000.
  0  0    .1155    6000.
  0  0    .1363    7000.
  0  0    .1559    8000.
  0  0    .1743    9000.
  0  0    .1918   10000.
  0  0    .2238   12000.
  0  0    .2384   13000.
  0  0    .2523   14000.
  0  0    .2653   15000.
  0  0    .2776   16000.
  0  0    .2892   17000.
  0  0    .3002   18000.
  0  0    .3105   19000.
  0  0    .3203   20000.
    2    3 0.1281    5000.
  0  0    .1591    6000.
  0  0    .1886    7000.
  0  0    .2167    8000.
  0  0    .2434    9000.
  0  0    .2609   10000.
  0  0    .3162   12000.
  0  0    .3382   13000.
  0  0    .3591   14000.
  0  0    .3790   15000.
  0  0    .3979   16000.
  0  0    .4159   17000.
  0  0    .4331   18000.
  0  0    .4494   19000.
  0  0    .4650   20000.
    1    4 0.0277    5000.
  0  0    .0342    6000.
  0  0    .0404    7000.
  0  0    .0463    8000.
  0  0    .0519    9000.
  0  0    .0573   10000.
  0  0    .0673   12000.
  0  0    .0720   13000.
  0  0    .0765   14000.
  0  0    .0807   15000.
  0  0    .0848   16000.
  0  0    .0887   17000.
  0  0    .0924   18000.
  0  0    .0959   19000.
  0  0    .0993   20000.
    1    5 0.0554    5000.
  0  0    .0683    6000.
  0  0    .0807    7000.
  0  0    .0925    8000.
  0  0    .1038    9000.
  0  0    .1146   10000.
  0  0    .1346   12000.
  0  0    .1440   13000.
  0  0    .1529   14000.
  0  0    .1615   15000.
  0  0    .1696   16000.
  0  0    .1774   17000.
  0  0    .1848   18000.
  0  0    .1919   19000.
  0  0    .1987   20000.
    2    4 0.0626    5000.
  0  0    .0724    6000.
  0  0    .0819    7000.
  0  0    .0912    8000.
  0  0    .1002    9000.
  0  0    .1090   10000.
  0  0    .1261   12000.
  0  0   0.1345   13000.
  0  0   0.1427   14000.
  0  0   0.1508   15000.
  0  0   0.1588   16000.
  0  0   0.1666   17000.
  0  0    .1744   18000.
  0  0   0.1822   19000.
  0  0   0.1898   20000.
    2    5 0.1615    5000.
  0  0   0.1841    6000.
  0  0    .2058    7000.
  0  0    .2265    8000.
  0  0    .2466    9000.
  0  0    .2660   10000.
  0  0    .3033   12000.
  0  0    .3213   13000.
  0  0    .3389   14000.
  0  0    .3562   15000.
  0  0    .3731   16000.
  0  0    .3898   17000.
  0  0    .4061   18000.
  0  0    .4223   19000.
  0  0    .4382   20000.
    3    4 0.0601    5000.
  0  0    .0682    6000.
  0  0    .0758    7000.
  0  0    .0832    8000.
  0  0    .0902    9000.
  0  0    .0970   10000.
  0  0    .1100   12000.
  0  0    .1162   13000.
  0  0    .1223   14000.
  0  0    .1283   15000.
  0  0    .1342   16000.
  0  0    .1399   17000.
  0  0    .1455   18000.
  0  0    .1510   19000.
  0  0    .1565   20000.
    3    5 0.0856    5000.
  0  0    .0987    6000.
  0  0    .1113    7000.
  0  0    .1235    8000.
  0  0    .1354    9000.
  0  0    .1470   10000.
  0  0    .1695   12000.
  0  0    .1804   13000.
  0  0    .1911   14000.
  0  0    .2017   15000.
  0  0    .2121   16000.
  0  0    .2224   17000.
  0  0    .2325   18000.
  0  0    .2425   19000.
  0  0    .2524   20000.
    4    5 0.0329    5000.
  0  0    .0403    6000.
  0  0    .0478    7000.
  0  0    .0554    8000.
  0  0    .0632    9000.
  0  0    .0710   10000.
  0  0    .0869   12000.
  0  0    .0950   13000.
  0  0   0.1031   14000.
  0  0   0.1114   15000.
  0  0   0.1196   16000.
  0  0   0.1280   17000.
  0  0   0.1363   18000.
  0  0   0.1448   19000.
  0  0    .1533   20000.
 0 0 0
    1    2   7.27000E-06
    1    3   2.02000E-05
    2    3   1.27000E-08
    1    4   2.71000E-03
    2    4   3.45000E-02
    3    4    5.29000E-02
    1    5   6.58000E-03
    2    5   6.14000E-02
    3    5   2.76000E-02
    4    5   0.00000E-00
    1    4      0.0
    2    6  19224.0
    3    4  19233.2
    4    2  28838.9
    5    4  28839.3
