3
 Ne III upsilions from Butler K., Zeippen C.J., (A&A Suppl., 108,1,1994)
   NEIII:  vals,Energy levels- Mendoza,83.Proc IAU Symp. 10?.Ed Flower.
  Coll strengths- Butler,K. 
5 11 0
2p2  3Pe2
2p2  3Pe1
2p2  3Pe0
2p2  1D2
2p2  1S0
    1000.
    1585.
    2512.
    3981.
    6310.
   10000.
   15849.
   25119.
   39811.
   63096.
  100000.
 0
 2 3 .154  
 0 0 .168
 0 0 .194
 0 0 .218
 0 0 .235
 0 0 .244
 0 0 .247
 0 0 .247
 0 0 .246
 0 0 .249
 0 0 .256
 1 3 .128 
 0 0 .149
 0 0 .174
 0 0 .194
 0 0 .204
 0 0 .208
 0 0 .208
 0 0 .205
 0 0 .203
 0 0 .205
 0 0 .211
 1 2 .481
 0 0 .545
 0 0 .634
 0 0 .708
 0 0 .752
 0 0 .774
 0 0 .778
 0 0 .771
 0 0 .764
 0 0 .773
 0 0 .794
 3 4 .150
 0 0 .153
 0 0 .154
 0 0 .153
 0 0 .152
 0 0 .151
 0 0 .150
 0 0 .149
 0 0 .150
 0 0 .153
 0 0 .156
 2 4 .450
 0 0 .459
 0 0 .462
 0 0 .460
 0 0 .456
 0 0 .452
 0 0 .449
 0 0 .448
 0 0 .449
 0 0 .458
 0 0 .469
 1 4 .749
 0 0 .765
 0 0 .771
 0 0 .767
 0 0 .760
 0 0 .754
 0 0 .749
 0 0 .746
 0 0 .749
 0 0 .763
 0 0 .782
 3 5 .017
 0 0 .017
 0 0 .017
 0 0 .017
 0 0 .017
 0 0 .017
 0 0 .017
 0 0 .017
 0 0 .018
 0 0 .019
 0 0 .020
 2 5 .050
 0 0 .050
 0 0 .050
 0 0 .050
 0 0 .050
 0 0 .050
 0 0 .050
 0 0 .051
 0 0 .054
 0 0 .057
 0 0 .060
 1 5 .083
 0 0 .083
 0 0 .083
 0 0 .083
 0 0 .084
 0 0 .084
 0 0 .084
 0 0 .086
 0 0 .090
 0 0 .095
 0 0 .100
 4 5 .266
 0 0 .266
 0 0 .266
 0 0 .266
 0 0 .267
 0 0 .269
 0 0 .277
 0 0 .292
 0 0 .310
 0 0 .325
 0 0 .333
 0 0 0 
 1 2 5.97-3 
 1 3 2.18-8 
 1 4 1.71-1 
 1 5 3.94-3 
 2 3 1.15-3 
 2 4 5.42-2 
 2 5 2.00   
 3 4 8.51-6 
 3 5 0.0    
 4 5 2.71   
 1 5 0.0    
 2 3 642.9  
 3 1 920.5  
 4 5 25840.8
 5 1 55750.6
