2
 Upsilons from Giles (MNRAS,195,63P,1981)
 Aij's from Zeippen (MNRAS,198,111,1982)
5 16 0
 LEVELS 1
        2
        3
        4
        5
5000
6000
7000
8000
9000
10000
11000
12000
13000
14000
15000
16000
17000
18000
19000
20000
0
    1    2 0.8453    5000.
 0  0   0.8426    6000.
 0  0   0.8411    7000.
 0  0   0.8401    8000.
 0  0   0.8392    9000.
 0  0   0.8383   10000.
 0  0   0.8373   11000.
 0  0   0.8362   12000.
 0  0   0.8350   13000.
 0  0   0.8337   14000.
 0  0   0.8324   15000.
 0  0   0.8309   16000.
 0  0   0.8294   17000.
 0  0   0.8278   18000.
 0  0   0.8261   19000.
 0  0   0.8245   20000.
    1    3 0.5635    5000.
 0  0   0.5617    6000.
 0  0   0.5607    7000.
 0  0   0.5600    8000.
 0  0   0.5593    9000.
 0  0   0.5587   10000.
 0  0   0.5581   11000.
 0  0   0.5573   12000.
 0  0   0.5567   13000.
 0  0   0.5557   14000.
 0  0   0.5547   15000.
 0  0   0.5538   16000.
 0  0   0.5527   17000.
 0  0   0.5517   18000.
 0  0   0.5506   19000.
 0  0   0.5495   20000.
    1    4 0.1526    5000.
 0  0    .1539    6000.
 0  0    .1549    7000.
 0  0    .1556    8000.
 0  0    .1560    9000.
 0  0    .1563   10000.
 0  0    .1564   11000.
 0  0    .1564   12000.
 0  0    .1563   13000.
 0  0    .1562   14000.
 0  0    .1560   15000.
 0  0    .1558   16000.
 0  0    .1556   17000.
 0  0    .1553   18000.
 0  0    .1550   19000.
 0  0    .1546   20000.
    1    5 0.3051    5000.
 0  0    .3077    6000.
 0  0    .3097    7000.
 0  0    .3111    8000.
 0  0    .3120    9000.
 0  0    .3126   10000.
 0  0    .3128   11000.
 0  0    .3128   12000.
 0  0    .3127   13000.
 0  0    .3124   14000.
 0  0    .3121   15000.
 0  0    .3117   16000.
 0  0    .3112   17000.
 0  0    .3106   18000.
 0  0    .3100   19000.
 0  0    .3093   20000.
    2    3 1.3729    5000.
 0  0   1.3651    6000.
 0  0   1.3624    7000.
 0  0   1.3618    8000.
 0  0   1.3618    9000.
 0  0   1.3616   10000.
 0  0   1.3609   11000.
 0  0   1.3595   12000.
 0  0   1.3575   13000.
 0  0   1.3549   14000.
 0  0   1.3518   15000.
 0  0   1.3482   16000.
 0  0   1.3444   17000.
 0  0   1.3402   18000.
 0  0   1.3358   19000.
 0  0   1.3313   20000.
    2    4 0.3348    5000.
 0  0   0.3469    6000.
 0  0   0.3554    7000.
 0  0   0.3611    8000.
 0  0   0.3652    9000.
 0  0   0.3680   10000.
 0  0   0.3699   11000.
 0  0   0.3713   12000.
 0  0   0.3723   13000.
 0  0   0.3730   14000.
 0  0   0.3735   15000.
 0  0   0.3738   16000.
 0  0   0.3739   17000.
 0  0   0.3739   18000.
 0  0   0.3738   19000.
 0  0   0.3736   20000.
    2    5 0.8469    5000.
 0  0   0.8670    6000.
 0  0    .8805    7000.
 0  0    .8895    8000.
 0  0    .8956    9000.
 0  0    .8999   10000.
 0  0    .9029   11000.
 0  0    .9051   12000.
 0  0    .9067   13000.
 0  0    .9079   14000.
 0  0    .9088   15000.
 0  0    .9093   16000.
 0  0    .9096   17000.
 0  0    .9096   18000.
 0  0    .9093   19000.
 0  0    .9088   20000.
    3    4 0.3218    5000.
 0  0    .3275    6000.
 0  0    .3313    7000.
 0  0    .3337    8000.
 0  0    .3353    9000.
 0  0    .3364   10000.
 0  0    .3372   11000.
 0  0    .3378   12000.
 0  0    .3383   13000.
 0  0    .3387   14000.
 0  0    .3389   15000.
 0  0    .3391   16000.
 0  0    .3392   17000.
 0  0    .3392   18000.
 0  0    .3391   19000.
 0  0    .3389   20000.
    3    5 0.466     5000.
 0  0    .4818    6000.
 0  0    .4926    7000.
 0  0    .5001    8000.
 0  0    .5052    9000.
 0  0    .5088   10000.
 0  0    .5113   11000.
 0  0    .5131   12000.
 0  0    .5144   13000.
 0  0    .5153   14000.
 0  0    .5160   15000.
 0  0    .5164   16000.
 0  0    .5165   17000.
 0  0    .5165   18000.
 0  0    .5164   19000.
 0  0    .5160   20000.
    4    5 0.3149    5000.
 0  0   0.3235    6000.
 0  0   0.33      7000.
 0  0    .3352    8000.
 0  0    .3395    9000.
 0  0    .3431   10000.
 0  0    .3464   11000.
 0  0    .3496   12000.
 0  0    .3525   13000.
 0  0    .3554   14000.
 0  0    .3582   15000.
 0  0    .3609   16000.
 0  0    .3634   17000.
 0  0    .3659   18000.
 0  0    .3682   19000.
 0  0    .3703   20000.
0 0 0
    1    2  4.84000E-04
    1    3   5.54000E-03
    1  4     5.21000E-01
    1    5    1.27000E+00
    2    3   1.48000E-06
    2    4   1.15000E-01
    2    5   4.00000E-01
    3    4   3.93000E-01
    3    5   4.37000E-01
    4    5   2.68000E-09
    1    4      0.0
    2    6  41234.6
    3    4  41279.5
    4    2  62434.6
    5    4  62441.3
 
